0.1 -2.302585093 -2.302585093
0.3 -1.203972804 -1.203972804
0.5 -0.6931471806 -0.6931471806
0.7 -0.3566749439 -0.3566749439
0.9 -0.1053605157 -0.1053605157
1.1 0.0953101798 0.0953101798
1.3 0.2623642645 0.2623642645
1.5 0.4054651081 0.4054651081
1.7 0.5306282511 0.5306282511
1.9 0.6418538862 0.6418538862
2.1 0.7419373447 0.7419373447
2.3 0.8329091229 0.8329091229
2.5 0.9162907319 0.9162907319
2.7 0.993251773 0.993251773
2.9 1.064710737 1.064710737
3.1 1.131402111 1.131402111
3.3 1.193922468 1.193922468
3.5 1.252762968 1.252762968
3.7 1.30833282 1.30833282
3.9 1.360976553 1.360976553
4.1 1.410986974 1.410986974
4.3 1.458615023 1.458615023
4.5 1.504077397 1.504077397
4.7 1.547562509 1.547562509
4.9 1.589235205 1.589235205
5.1 1.62924054 1.62924054
5.3 1.667706821 1.667706821
5.5 1.704748092 1.704748092
5.7 1.740466175 1.740466175
5.9 1.774952351 1.774952351
6.1 1.808288771 1.808288771
6.3 1.840549633 1.840549633
6.5 1.871802177 1.871802177
6.7 1.902107526 1.902107526
6.9 1.931521412 1.931521412
7.1 1.960094784 1.960094784
7.3 1.987874348 1.987874348
7.5 2.014903021 2.014903021
7.7 2.041220329 2.041220329
7.9 2.066862759 2.066862759
8.1 2.091864062 2.091864062
8.3 2.116255515 2.116255515
8.5 2.140066163 2.140066163
8.7 2.163323026 2.163323026
8.9 2.186051277 2.186051277
9.1 2.208274414 2.208274414
9.3 2.2300144 2.2300144
9.5 2.251291799 2.251291799
9.7 2.272125886 2.272125886
9.9 2.292534757 2.292534757
